Latitude,Longitude,City,Population,Total officers,Total civilians,Violent crime,Murder and nonnegligent manslaughter,Aggravated assault,Burglary,Arson
33.720578,-116.21556100000001,Indio,"87,195",62,38,585,5,424,454,4
38.352692,-120.932717,Ione,"6,804",6,0,7,0,6,9,0
36.723558000000004,-120.059878,Kerman,"14,595",19,3,33,0,27,68,0
36.212744,-121.126028,King City,"13,755",15,2,61,2,43,48,2
36.513839000000004,-119.55401699999999,Kingsburg,"11,813",13,6,28,0,18,97,0
39.04295,-122.915828,Lakeport,"4,781",10,1,29,0,17,39,0
32.767828,-117.02308300000001,La Mesa,"59,676",63,29,196,3,115,276,4
38.891564,-121.293008,Lincoln,"46,663",19,7,28,0,12,127,1
37.681875,-121.76800800000001,Livermore,"88,316",86,45,233,3,167,255,28
37.386883000000005,-120.723533,Livingston,"14,007",19,8,58,1,40,79,2
33.768322,-118.195617,Long Beach,"476,318",771,352,"2,766",36,"1,499","3,094",69
33.796331,-118.118119,Los Altos,"30,598",30,15,6,0,1,120,0
34.052233,-118.24368600000001,Los Angeles,"3,962,726","9,863","2,802","25,156",282,"13,713","16,160","1,131"
37.058278,-120.84991399999998,Los Banos,"37,395",38,22,131,1,88,307,10
36.961335999999996,-120.060717,Madera,"64,127",56,18,450,3,335,462,4
37.797428000000004,-121.216053,Manteca,"75,019",60,24,213,5,116,420,20
36.684403,-121.802172,Marina,"21,094",29,6,51,3,22,84,3
38.019366999999995,-122.134133,Martinez,"37,923",34,12,51,0,25,164,0
39.145725,-121.591356,Marysville,"12,264",16,8,85,2,53,78,4
35.678011,-119.229275,McFarland,"13,848",13,3,61,1,44,71,10
36.753561,-120.38155800000001,Mendota,"11,470",14,2,90,2,77,62,7
37.302164000000005,-120.48296699999999,Merced,"82,409",80,35,763,11,570,588,81
37.906036,-122.544975,Mill Valley,"14,527",21,6,4,0,2,47,1
37.428272,-121.906625,Milpitas,"75,520",85,24,77,1,30,277,11
37.639097,-120.99687800000001,Modesto,"210,794",216,79,"2,025",25,"1,427","1,639",66
34.144428000000005,-118.001947,Monrovia,"37,618",47,28,47,2,22,103,3
34.077511,-117.689778,Montclair,"38,899",47,21,221,4,121,254,11
36.600239,-121.894675,Monterey,"28,491",44,13,136,3,78,167,5
35.365808,-120.8499,Morro Bay,"10,620",17,2,46,0,39,54,0
37.386053000000004,-122.08385,Mountain View,"80,705",90,43,164,0,123,327,7
33.553914,-117.213922,Murrieta,"109,495",85,41,69,0,33,287,12
38.297539,-122.286864,Napa,"80,749",72,42,298,0,230,355,6
32.678108,-117.099197,National City,"60,768",81,31,327,2,167,183,14
37.529658000000005,-122.04023899999999,Newark,"45,258",55,21,101,1,38,287,8
37.313828,-121.02076100000001,Newman,"10,881",11,3,16,0,12,29,0
33.618911,-117.928947,Newport Beach,"87,749",139,78,112,2,66,394,4
38.107419,-122.569703,Novato,"55,782",57,24,103,2,65,219,18
37.766594,-120.847153,Oakdale,"22,137",22,10,43,0,23,167,6
37.804364,-122.27111399999998,Oakland,"419,481",734,300,"6,051",85,"2,391","3,333",179
33.195869,-117.37948300000001,Oceanside,"176,319",206,70,702,9,409,589,15
