Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Cargo,Passenger,"2,352,871","1,067.262286"
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,"651,243",295.4038248
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Mail,Passenger,"3,756",1.7037216
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Express,Passenger,"684,081",310.2991416
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,"17,908",8.1230688
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Express,Passenger,"84,444",38.3037984
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,"133,094",60.3714384
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Express,Passenger,"1,432",0.6495552
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Mail,Passenger,"7,176",3.2550336
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Express,Passenger,"12,142",5.5076112
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Mail,Passenger,"20,340",9.226224
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Express,Passenger,"1,221,344",554.0016384
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Mail,Passenger,"429,079",194.6302344
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Express,Passenger,"1,012,659",459.3421224
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Mail,Passenger,"467,018",211.8393648
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Cargo,Passenger,42,0.0190512
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Express,Passenger,"10,500",4.7628
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Mail,Passenger,"2,500",1.134
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Express,Passenger,"3,507",1.5907752
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Mail,Passenger,"42,960",19.486656
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,"470,598",213.4632528
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Express,Passenger,"2,618",1.1875248
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Mail,Passenger,"10,137",4.5981432
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,"457,585",207.560556
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,"458,862",208.1398032
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,"441,842",200.4195312
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,"74,940",33.992784
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,"57,768",26.2035648
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,"73,515",33.346404
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,"224,120",101.660832
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,"43,859",19.8944424
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,"8,731",3.9603816
200508,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,"33,330",15.118488
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,"45,264",20.5317504
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,"33,004",14.9706144
200508,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,"78,206",35.4742416
200508,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,"677,216",307.1851776
200508,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,"420,664",190.8131904
200508,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,"460,581",208.9195416
200508,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,"16,885",7.659036
200508,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,"386,474",175.3046064
